book_site,book_isbn,book_cat,book_title,book_price,book_author,book_publish,book_publish_date,book_img,book_url,crawl_time
옥션,9788997943067,한국소설,표적자,"11,700",박태갑 저,스마트인,9788997943067,http://image.auction.co.kr/itemimage/dc/a2/d7/dca2d79c6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A813465067,2019-05-21 16:18:48.575460
옥션,9788957482629,한국소설,잠자리 머리핀  한솜   이승욱 ,"11,700",이승욱 저,한솜,9788957482629,http://image.auction.co.kr/itemimage/8b/4a/52/8b4a52f66.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A823624871,2019-05-21 16:18:48.618824
옥션,2013년 10월 21일,한국소설,기황후1,"11,700","장영철,정경순 저",도서출판마음의숲,2013년 10월 21일,http://image.auction.co.kr/itemimage/dc/42/35/dc4235236.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A827189358,2019-05-21 16:18:48.637163
옥션,9788954622868,한국소설,불타버린 지도 (양장)  문학동네   아베 고보 ,"11,700",아베 고보(安部公房) 저,문학동네,9788954622868,http://image.auction.co.kr/itemimage/8b/3c/cb/8b3ccb3d6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A840313979,2019-05-21 16:18:48.662088
옥션,9791185327037,한국소설,하품은 맛있다  네오픽션   강지영 ,"11,700",강지영 저,네오픽션,9791185327037,http://image.auction.co.kr/itemimage/8b/49/c8/8b49c8746.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A824635642,2019-05-21 16:18:48.742832
옥션,9791130600598,한국소설,이중섭 1 - 게와 아이들과 황소,"11,700",최문희 저,다산책방,9791130600598,http://image.auction.co.kr/itemimage/14/8f/ce/148fced2b6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A831201776,2019-05-21 16:18:48.824059
옥션,2014년 02월 01일,한국소설,드래곤 라자 세트(양장본 HardCover)(전8권),"86,400",이영도 저,황금가지,2014년 02월 01일,http://image.auction.co.kr/itemimage/d6/1b/7d/d61b7da96.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B260353662,2019-05-21 16:18:48.888886
옥션,2013년 10월 21일,한국소설,기황후2,"11,700","장영철,정경순 저",도서출판마음의숲,2013년 10월 21일,http://image.auction.co.kr/itemimage/dc/42/35/dc4235346.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A827189341,2019-05-21 16:18:49.059430
옥션,9791195037919,한국소설,야수 1,"11,700",유호 저,네오픽션,9791195037919,http://image.auction.co.kr/itemimage/dc/a4/b4/dca4b4916.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A792023702,2019-05-21 16:18:49.077381
옥션,9788963710839,한국소설,메이비 메이비 낫(개정판),"11,700",김언희 저,파란(파란미디어),9788963710839,http://image.auction.co.kr/itemimage/c3/b7/1d/c3b71dc56.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=A779326927,2019-05-21 16:18:49.175160
